time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-19T22:42:09.585Z,61.0434,-148.766,25.3,2.6,ml,,,,1.17,ak,ak14368333,2016-11-19T22:54:39.304Z,"30km N of Whittier, Alaska",earthquake,,1.1,,,automatic,ak,ak
2016-11-19T20:48:53.960Z,-41.7363,174.3489,17.92,4.3,mwr,,97,0.101,1.01,us,us10007an1,2016-11-19T22:19:35.040Z,"41km SE of Blenheim, New Zealand",earthquake,2.6,4.1,0.06,27,reviewed,us,us
2016-11-19T19:55:53.150Z,-2.087,-79.7134,79.45,4.3,mb,,135,0.591,0.9,us,us10007amh,2016-11-20T02:23:41.961Z,"4km NW of Yaguachi, Ecuador",earthquake,5.7,7.4,0.122,19,reviewed,us,us
2016-11-19T19:31:01.500Z,4.9954,127.881,57.35,4.7,mb,,97,3.08,0.86,us,us10007amb,2016-11-19T22:33:46.040Z,"241km SE of Pondaguitan, Philippines",earthquake,7.7,7.6,0.067,68,reviewed,us,us
2016-11-19T18:41:45.050Z,52.3647,-174.7379,152.11,4.4,mb,,160,1.293,0.92,us,us10007alz,2016-11-19T23:17:35.040Z,"41km WNW of Atka, Alaska",earthquake,10.3,9.4,0.048,126,reviewed,us,us
2016-11-19T18:12:49.730Z,-19.2297,-177.4615,563.31,4.9,mb,,83,7.123,0.73,us,us10007alj,2016-11-19T18:27:27.040Z,"203km NE of Ndoi Island, Fiji",earthquake,13,11.9,0.099,32,reviewed,us,us
2016-11-19T18:07:26.780Z,19.9536667,-155.4718323,29.61,2.54,md,45,179,0.1995,0.17,hv,hv61486966,2016-11-19T18:10:44.380Z,"14km S of Honoka'a, Hawaii",earthquake,0.63,0.9,0.17,18,automatic,hv,hv
2016-11-19T17:55:15.850Z,59.4371,-152.7924,93.2,3.1,ml,,,,0.52,ak,ak14367510,2016-11-19T19:45:51.040Z,"66km SW of Anchor Point, Alaska",earthquake,,0.3,,,automatic,ak,ak
2016-11-19T17:36:26.900Z,3.562,125.9807,106.79,5.1,mb,,36,3.098,1.27,us,us10007akw,2016-11-19T17:54:34.040Z,"211km SSE of Sarangani, Philippines",earthquake,6.2,6.8,0.065,76,reviewed,us,us
2016-11-19T14:31:56.400Z,19.0603,-64.3645,24,2.9,Md,4,338.4,0.82106017,0.2,pr,pr16324009,2016-11-19T16:38:12.256Z,"76km NNE of Road Town, British Virgin Islands",earthquake,2.7,18.1,0,2,reviewed,pr,pr
2016-11-19T12:47:04.610Z,-44.2221,39.0395,15.32,5.1,mb,,50,18.513,0.59,us,us10007aj3,2016-11-19T13:04:47.040Z,"Prince Edward Islands region",earthquake,8.6,4.3,0.088,42,reviewed,us,us
2016-11-19T12:14:50.156Z,68.8674,-146.8375,0.1,2.5,ml,,,,0.68,ak,ak14366750,2016-11-19T12:32:22.379Z,"98km NNW of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2016-11-19T12:00:57.010Z,-6.5294,129.8839,166.81,5.1,mb,,87,2.013,0.85,us,us10007ail,2016-11-19T12:16:17.040Z,"222km NW of Saumlaki, Indonesia",earthquake,7.7,6.1,0.087,43,reviewed,us,us
2016-11-19T11:42:09.930Z,54.4834,164.244,25.06,4.5,mb,,131,3.628,0.84,us,us10007ai9,2016-11-19T11:55:22.040Z,"137km SW of Nikol'skoye, Russia",earthquake,10.9,6.2,0.108,25,reviewed,us,us
2016-11-19T11:38:54.500Z,36.4393,-98.7587,6.88,2.9,mb_lg,,89,0.204,0.52,us,us10007ai5,2016-11-19T22:25:39.792Z,"31km NW of Fairview, Oklahoma",earthquake,1.4,7.5,0.078,43,reviewed,us,us
2016-11-19T11:26:03.010Z,-0.9975,127.4865,10,4.7,mb,,75,1.761,0.79,us,us10007ahx,2016-11-19T11:44:00.040Z,"44km NNW of Laiwui, Indonesia",earthquake,5.6,1.7,0.108,26,reviewed,us,us
2016-11-19T11:22:02.100Z,17.9041,-65.8748,5,2.7,Md,12,216,0.2290704,0.2,pr,pr16324005,2016-11-19T11:47:35.799Z,"10km S of Emajagua, Puerto Rico",earthquake,0.6,0.5,0,12,reviewed,pr,pr
2016-11-19T10:18:33.800Z,-2.8441,140.9796,25.67,4.8,mb,,81,8.72,0.64,us,us10007ahb,2016-11-19T10:47:21.040Z,"40km WSW of Vanimo, Papua New Guinea",earthquake,9.5,5.5,0.071,61,reviewed,us,us
2016-11-19T09:45:30.740Z,19.180666,-155.6798401,0.82,2.69,ml,43,119,0.08939,0.34,hv,hv61486691,2016-11-19T09:51:08.330Z,"15km NE of Hawaiian Ocean View, Hawaii",earthquake,0.52,0.28,0.4,3,automatic,hv,hv
